
** get_Rfile_ascii_table_params: lline: 23
** get_Rfile_ascii_table_params: number of columns: 11 from header line:
['iteration', 'logPost', 'stepSize', 'cycleSpinRow', 'cycleSpinCol', 'smoothingParam0', 'smoothingParam1', 'smoothingParam2', 'smoothingParam3', 'smoothingParam4', 'expectedMSCounts']
** get_Rfile_ascii_table_params: lline: 178 ['155', '-1550.88', '-9.113036656', '21', '30', '0.111332', '0.079471', '0.121877', '0.086665', '0.157729', '352.864']

** get_Rfile_ascii_table_params: lline: 179 ['156', '-1550.62', '0.2649289633', '10', '19', '0.122365', '0.098788', '0.111393', '0.105070', '0.116301', '351.547']

** get_Rfile_ascii_table_params: lline: 180 ['157', '-1575.86', '-25.24380053', '30', '14', '0.110164', '0.083061', '0.167282', '0.114369', '0.134290', '324.756']

** get_Rfile_ascii_table_params: lline: 181 ['158', '-1563.73', '12.12558942', '15', '23', '0.105109', '0.095402', '0.101286', '0.150600', '0.106360', '364.178']

** get_Rfile_ascii_table_params: lline: 182 ['159', '-1576.83', '-13.09676273', '26', '30', '0.088550', '0.084157', '0.137414', '0.117099', '0.145594', '349.412']

** get_Rfile_ascii_table_params: lline: 183 ['160', '-1559.45', '17.37681308', '24', '17', '0.118453', '0.086241', '0.118890', '0.148545', '0.151894', '341.032']

** get_Rfile_ascii_table_params: lline: 184 ['161', '-1574.43', '-14.97176152', '14', '5', '0.111687', '0.076063', '0.083676', '0.114286', '0.161973', '343.726']

** get_Rfile_ascii_table_params: lline: 185 ['162', '-1552.39', '22.03126068', '21', '28', '0.115235', '0.130655', '0.086813', '0.124447', '0.106276', '364.015']

** get_Rfile_ascii_table_params: lline: 186 ['163', '-1571.61', '-19.22017923', '27', '25', '0.107219', '0.111002', '0.072254', '0.143657', '0.154688', '377.338']

** get_Rfile_ascii_table_params: lline: 187 ['164', '-1537.01', '34.60489445', '5', '31', '0.101140', '0.108862', '0.160166', '0.131311', '0.106733', '372.159']

** get_Rfile_ascii_table_params: lline: 188 ['165', '-1573.4', '-36.39208585', '12', '14', '0.089280', '0.156883', '0.092403', '0.104374', '0.106646', '353.672']

** get_Rfile_ascii_table_params: lline: 189 ['166', '-1528.34', '45.056456', '17', '13', '0.068890', '0.103401', '0.093676', '0.134227', '0.063070', '355.624']

** get_Rfile_ascii_table_params: lline: 190 ['167', '-1514.72', '13.62240206', '20', '9', '0.092452', '0.129870', '0.141663', '0.071860', '0.146446', '342.578']

** get_Rfile_ascii_table_params: lline: 191 ['168', '-1567.3', '-52.57562763', '16', '2', '0.091955', '0.159520', '0.101331', '0.143664', '0.123959', '351.425']

** get_Rfile_ascii_table_params: lline: 192 ['169', '-1546.07', '21.22558866', '8', '25', '0.098582', '0.100690', '0.147153', '0.105526', '0.089467', '365.002']

** get_Rfile_ascii_table_params: lline: 193 ['170', '-1541.78', '4.290289388', '30', '13', '0.153183', '0.107312', '0.133710', '0.144691', '0.132666', '333.684']

** get_Rfile_ascii_table_params: lline: 194 ['171', '-1623.63', '-81.85087425', '28', '6', '0.109281', '0.108967', '0.063186', '0.081487', '0.110577', '359.575']

** get_Rfile_ascii_table_params: lline: 195 ['172', '-1544.49', '79.14332908', '29', '4', '0.048895', '0.189359', '0.118069', '0.141073', '0.094510', '356.658']

** get_Rfile_ascii_table_params: lline: 196 ['173', '-1496.84', '47.64710811', '4', '25', '0.134812', '0.135331', '0.155110', '0.105876', '0.107358', '333.683']

** get_Rfile_ascii_table_params: lline: 197 ['174', '-1598.77', '-101.9310576', '6', '30', '0.104669', '0.113355', '0.155202', '0.071792', '0.118023', '365.619']

** get_Rfile_ascii_table_params: lline: 198 ['175', '-1586.5', '12.27829447', '24', '24', '0.125866', '0.173925', '0.172345', '0.121064', '0.112971', '360.627']

** get_Rfile_ascii_table_params: lline: 199 ['176', '-1528.5', '57.99366765', '9', '19', '0.095561', '0.155310', '0.117732', '0.141533', '0.115091', '361.021']

** get_Rfile_ascii_table_params: lline: 200 ['177', '-1597.04', '-68.53830206', '24', '22', '0.117411', '0.128083', '0.138762', '0.133445', '0.148469', '361.346']

** get_Rfile_ascii_table_params: lline: 201 ['178', '-1544.96', '52.08403796', '3', '13', '0.085793', '0.166915', '0.116908', '0.096362', '0.058166', '344.714']

** get_Rfile_ascii_table_params: lline: 202 ['179', '-1573.92', '-28.96180836', '0', '2', '0.118741', '0.142210', '0.148319', '0.140750', '0.151704', '351.346']

** get_Rfile_ascii_table_params: lline: 203 ['180', '-1585.99', '-12.07721067', '24', '18', '0.115686', '0.123676', '0.123541', '0.127788', '0.093405', '354.918']

