
** get_Rfile_ascii_table_params: lline: 23
** get_Rfile_ascii_table_params: number of columns: 11 from header line:
['iteration', 'logPost', 'stepSize', 'cycleSpinRow', 'cycleSpinCol', 'smoothingParam0', 'smoothingParam1', 'smoothingParam2', 'smoothingParam3', 'smoothingParam4', 'expectedMSCounts']

* image_in:  1448  InMCMCParams[0:1][image_in]:  25.0 12.0

* image_in:  1449  InMCMCParams[0:1][image_in]:  5.0 18.0

* image_in:  1450  InMCMCParams[0:1][image_in]:  19.0 0.0

* image_in:  1451  InMCMCParams[0:1][image_in]:  2.0 4.0

* image_in:  1452  InMCMCParams[0:1][image_in]:  2.0 7.0

* image_in:  1453  InMCMCParams[0:1][image_in]:  21.0 24.0

* image_in:  1454  InMCMCParams[0:1][image_in]:  19.0 14.0

* image_in:  1455  InMCMCParams[0:1][image_in]:  10.0 22.0

* image_in:  1456  InMCMCParams[0:1][image_in]:  20.0 27.0

* image_in:  1457  InMCMCParams[0:1][image_in]:  16.0 28.0

* image_in:  1458  InMCMCParams[0:1][image_in]:  11.0 19.0

* image_in:  1459  InMCMCParams[0:1][image_in]:  5.0 27.0

* image_in:  1460  InMCMCParams[0:1][image_in]:  14.0 2.0

* image_in:  1461  InMCMCParams[0:1][image_in]:  6.0 10.0

* image_in:  1462  InMCMCParams[0:1][image_in]:  9.0 31.0

* image_in:  1463  InMCMCParams[0:1][image_in]:  2.0 8.0

* image_in:  1464  InMCMCParams[0:1][image_in]:  13.0 10.0

* image_in:  1465  InMCMCParams[0:1][image_in]:  14.0 26.0

* image_in:  1466  InMCMCParams[0:1][image_in]:  20.0 13.0

* image_in:  1467  InMCMCParams[0:1][image_in]:  11.0 13.0

* image_in:  1468  InMCMCParams[0:1][image_in]:  28.0 0.0

* image_in:  1469  InMCMCParams[0:1][image_in]:  25.0 14.0

* image_in:  1470  InMCMCParams[0:1][image_in]:  8.0 20.0

* image_in:  1471  InMCMCParams[0:1][image_in]:  26.0 14.0

* image_in:  1472  InMCMCParams[0:1][image_in]:  27.0 21.0

* image_in:  1473  InMCMCParams[0:1][image_in]:  3.0 17.0

* image_in:  1474  InMCMCParams[0:1][image_in]:  20.0 7.0

* image_in:  1475  InMCMCParams[0:1][image_in]:  7.0 28.0

* image_in:  1476  InMCMCParams[0:1][image_in]:  12.0 14.0

* image_in:  1477  InMCMCParams[0:1][image_in]:  26.0 25.0

* image_in:  1478  InMCMCParams[0:1][image_in]:  20.0 26.0

* image_in:  1479  InMCMCParams[0:1][image_in]:  29.0 12.0

* image_in:  1480  InMCMCParams[0:1][image_in]:  16.0 28.0

* image_in:  1481  InMCMCParams[0:1][image_in]:  2.0 14.0

* image_in:  1482  InMCMCParams[0:1][image_in]:  26.0 14.0

* image_in:  1483  InMCMCParams[0:1][image_in]:  4.0 2.0

* image_in:  1484  InMCMCParams[0:1][image_in]:  6.0 24.0

* image_in:  1485  InMCMCParams[0:1][image_in]:  5.0 31.0

* image_in:  1486  InMCMCParams[0:1][image_in]:  27.0 29.0

* image_in:  1487  InMCMCParams[0:1][image_in]:  4.0 6.0

* image_in:  1488  InMCMCParams[0:1][image_in]:  19.0 15.0

* image_in:  1489  InMCMCParams[0:1][image_in]:  12.0 29.0

* image_in:  1490  InMCMCParams[0:1][image_in]:  0.0 31.0

* image_in:  1491  InMCMCParams[0:1][image_in]:  15.0 16.0

* image_in:  1492  InMCMCParams[0:1][image_in]:  19.0 16.0

* image_in:  1493  InMCMCParams[0:1][image_in]:  23.0 22.0

* image_in:  1494  InMCMCParams[0:1][image_in]:  22.0 10.0

* image_in:  1495  InMCMCParams[0:1][image_in]:  11.0 18.0

* image_in:  1496  InMCMCParams[0:1][image_in]:  29.0 22.0

* image_in:  1497  InMCMCParams[0:1][image_in]:  2.0 7.0

* image_in:  1498  InMCMCParams[0:1][image_in]:  1.0 26.0

* image_in:  1499  InMCMCParams[0:1][image_in]:  8.0 17.0

* image_in:  1500  InMCMCParams[0:1][image_in]:  28.0 17.0

* image_in:  1501  InMCMCParams[0:1][image_in]:  19.0 13.0

* image_in:  1502  InMCMCParams[0:1][image_in]:  6.0 10.0

* image_in:  1503  InMCMCParams[0:1][image_in]:  25.0 27.0

* image_in:  1504  InMCMCParams[0:1][image_in]:  9.0 4.0

* image_in:  1505  InMCMCParams[0:1][image_in]:  11.0 4.0

* image_in:  1506  InMCMCParams[0:1][image_in]:  5.0 28.0

* image_in:  1507  InMCMCParams[0:1][image_in]:  8.0 25.0

* image_in:  1508  InMCMCParams[0:1][image_in]:  5.0 5.0

* image_in:  1509  InMCMCParams[0:1][image_in]:  13.0 19.0

* image_in:  1510  InMCMCParams[0:1][image_in]:  8.0 23.0

* image_in:  1511  InMCMCParams[0:1][image_in]:  31.0 3.0

* image_in:  1512  InMCMCParams[0:1][image_in]:  27.0 21.0

* image_in:  1513  InMCMCParams[0:1][image_in]:  2.0 15.0

* image_in:  1514  InMCMCParams[0:1][image_in]:  17.0 2.0

* image_in:  1515  InMCMCParams[0:1][image_in]:  22.0 12.0

* image_in:  1516  InMCMCParams[0:1][image_in]:  27.0 17.0

* image_in:  1517  InMCMCParams[0:1][image_in]:  10.0 16.0

* image_in:  1518  InMCMCParams[0:1][image_in]:  25.0 7.0

* image_in:  1519  InMCMCParams[0:1][image_in]:  7.0 27.0

* image_in:  1520  InMCMCParams[0:1][image_in]:  6.0 14.0

* image_in:  1521  InMCMCParams[0:1][image_in]:  22.0 9.0

* image_in:  1522  InMCMCParams[0:1][image_in]:  17.0 27.0

* image_in:  1523  InMCMCParams[0:1][image_in]:  29.0 9.0

* image_in:  1524  InMCMCParams[0:1][image_in]:  2.0 13.0

* image_in:  1525  InMCMCParams[0:1][image_in]:  17.0 16.0

* image_in:  1526  InMCMCParams[0:1][image_in]:  7.0 10.0

* image_in:  1527  InMCMCParams[0:1][image_in]:  4.0 17.0

* image_in:  1528  InMCMCParams[0:1][image_in]:  20.0 2.0

* image_in:  1529  InMCMCParams[0:1][image_in]:  12.0 27.0

* image_in:  1530  InMCMCParams[0:1][image_in]:  18.0 20.0

* image_in:  1531  InMCMCParams[0:1][image_in]:  6.0 12.0

* image_in:  1532  InMCMCParams[0:1][image_in]:  21.0 7.0

* image_in:  1533  InMCMCParams[0:1][image_in]:  12.0 9.0

* image_in:  1534  InMCMCParams[0:1][image_in]:  16.0 10.0

* image_in:  1535  InMCMCParams[0:1][image_in]:  2.0 25.0

* image_in:  1536  InMCMCParams[0:1][image_in]:  23.0 11.0

* image_in:  1537  InMCMCParams[0:1][image_in]:  5.0 6.0

* image_in:  1538  InMCMCParams[0:1][image_in]:  19.0 16.0

* image_in:  1539  InMCMCParams[0:1][image_in]:  6.0 29.0

* image_in:  1540  InMCMCParams[0:1][image_in]:  6.0 14.0

* image_in:  1541  InMCMCParams[0:1][image_in]:  7.0 30.0

* image_in:  1542  InMCMCParams[0:1][image_in]:  25.0 1.0

* image_in:  1543  InMCMCParams[0:1][image_in]:  14.0 18.0

* image_in:  1544  InMCMCParams[0:1][image_in]:  26.0 13.0

* image_in:  1545  InMCMCParams[0:1][image_in]:  13.0 30.0

* image_in:  1546  InMCMCParams[0:1][image_in]:  10.0 17.0

* image_in:  1547  InMCMCParams[0:1][image_in]:  14.0 17.0

* image_in:  1548  InMCMCParams[0:1][image_in]:  27.0 17.0

* image_in:  1549  InMCMCParams[0:1][image_in]:  11.0 29.0

* image_in:  1550  InMCMCParams[0:1][image_in]:  20.0 28.0

* image_in:  1551  InMCMCParams[0:1][image_in]:  3.0 15.0

* image_in:  1552  InMCMCParams[0:1][image_in]:  16.0 30.0

* image_in:  1553  InMCMCParams[0:1][image_in]:  20.0 9.0

* image_in:  1554  InMCMCParams[0:1][image_in]:  29.0 6.0

* image_in:  1555  InMCMCParams[0:1][image_in]:  8.0 21.0

* image_in:  1556  InMCMCParams[0:1][image_in]:  25.0 25.0

* image_in:  1557  InMCMCParams[0:1][image_in]:  7.0 10.0

* image_in:  1558  InMCMCParams[0:1][image_in]:  17.0 12.0

* image_in:  1559  InMCMCParams[0:1][image_in]:  10.0 6.0

* image_in:  1560  InMCMCParams[0:1][image_in]:  0.0 16.0

* image_in:  1561  InMCMCParams[0:1][image_in]:  2.0 2.0

* image_in:  1562  InMCMCParams[0:1][image_in]:  23.0 27.0

* image_in:  1563  InMCMCParams[0:1][image_in]:  20.0 30.0

* image_in:  1564  InMCMCParams[0:1][image_in]:  1.0 14.0

* image_in:  1565  InMCMCParams[0:1][image_in]:  30.0 9.0

* image_in:  1566  InMCMCParams[0:1][image_in]:  22.0 4.0

* image_in:  1567  InMCMCParams[0:1][image_in]:  23.0 16.0

* image_in:  1568  InMCMCParams[0:1][image_in]:  20.0 28.0

* image_in:  1569  InMCMCParams[0:1][image_in]:  25.0 2.0

* image_in:  1570  InMCMCParams[0:1][image_in]:  6.0 12.0

* image_in:  1571  InMCMCParams[0:1][image_in]:  7.0 13.0

* image_in:  1572  InMCMCParams[0:1][image_in]:  14.0 15.0

* image_in:  1573  InMCMCParams[0:1][image_in]:  5.0 1.0

* image_in:  1574  InMCMCParams[0:1][image_in]:  8.0 19.0

* image_in:  1575  InMCMCParams[0:1][image_in]:  6.0 9.0

* image_in:  1576  InMCMCParams[0:1][image_in]:  25.0 28.0

* image_in:  1577  InMCMCParams[0:1][image_in]:  17.0 27.0

* image_in:  1578  InMCMCParams[0:1][image_in]:  21.0 21.0

* image_in:  1579  InMCMCParams[0:1][image_in]:  3.0 14.0

* image_in:  1580  InMCMCParams[0:1][image_in]:  11.0 30.0

* image_in:  1581  InMCMCParams[0:1][image_in]:  23.0 13.0

* image_in:  1582  InMCMCParams[0:1][image_in]:  23.0 28.0

* image_in:  1583  InMCMCParams[0:1][image_in]:  24.0 29.0

* image_in:  1584  InMCMCParams[0:1][image_in]:  23.0 25.0

* image_in:  1585  InMCMCParams[0:1][image_in]:  26.0 22.0

* image_in:  1586  InMCMCParams[0:1][image_in]:  25.0 30.0

* image_in:  1587  InMCMCParams[0:1][image_in]:  3.0 9.0

* image_in:  1588  InMCMCParams[0:1][image_in]:  14.0 14.0

* image_in:  1589  InMCMCParams[0:1][image_in]:  28.0 14.0

* image_in:  1590  InMCMCParams[0:1][image_in]:  2.0 18.0

* image_in:  1591  InMCMCParams[0:1][image_in]:  2.0 18.0

* image_in:  1592  InMCMCParams[0:1][image_in]:  15.0 15.0

* image_in:  1593  InMCMCParams[0:1][image_in]:  2.0 28.0

* image_in:  1594  InMCMCParams[0:1][image_in]:  15.0 16.0

* image_in:  1595  InMCMCParams[0:1][image_in]:  10.0 14.0

* image_in:  1596  InMCMCParams[0:1][image_in]:  17.0 0.0

* image_in:  1597  InMCMCParams[0:1][image_in]:  6.0 9.0

* image_in:  1598  InMCMCParams[0:1][image_in]:  21.0 4.0

* image_in:  1599  InMCMCParams[0:1][image_in]:  17.0 2.0

* image_in:  1600  InMCMCParams[0:1][image_in]:  22.0 25.0

* image_in:  1601  InMCMCParams[0:1][image_in]:  13.0 16.0

* image_in:  1602  InMCMCParams[0:1][image_in]:  29.0 9.0

* image_in:  1603  InMCMCParams[0:1][image_in]:  27.0 12.0

* image_in:  1604  InMCMCParams[0:1][image_in]:  21.0 2.0

* image_in:  1605  InMCMCParams[0:1][image_in]:  14.0 8.0

* image_in:  1606  InMCMCParams[0:1][image_in]:  18.0 18.0

* image_in:  1607  InMCMCParams[0:1][image_in]:  30.0 20.0

* image_in:  1608  InMCMCParams[0:1][image_in]:  22.0 11.0

* image_in:  1609  InMCMCParams[0:1][image_in]:  2.0 27.0

* image_in:  1610  InMCMCParams[0:1][image_in]:  3.0 30.0

* image_in:  1611  InMCMCParams[0:1][image_in]:  29.0 10.0

* image_in:  1612  InMCMCParams[0:1][image_in]:  9.0 11.0

* image_in:  1613  InMCMCParams[0:1][image_in]:  20.0 22.0

* image_in:  1614  InMCMCParams[0:1][image_in]:  29.0 29.0

* image_in:  1615  InMCMCParams[0:1][image_in]:  5.0 2.0

* image_in:  1616  InMCMCParams[0:1][image_in]:  18.0 19.0

* image_in:  1617  InMCMCParams[0:1][image_in]:  9.0 18.0

* image_in:  1618  InMCMCParams[0:1][image_in]:  18.0 6.0

* image_in:  1619  InMCMCParams[0:1][image_in]:  21.0 31.0

* image_in:  1620  InMCMCParams[0:1][image_in]:  21.0 21.0

* image_in:  1621  InMCMCParams[0:1][image_in]:  23.0 13.0

* image_in:  1622  InMCMCParams[0:1][image_in]:  28.0 5.0

* image_in:  1623  InMCMCParams[0:1][image_in]:  11.0 14.0

* image_in:  1624  InMCMCParams[0:1][image_in]:  16.0 5.0

* image_in:  1625  InMCMCParams[0:1][image_in]:  25.0 0.0

* image_in:  1626  InMCMCParams[0:1][image_in]:  10.0 7.0

* image_in:  1627  InMCMCParams[0:1][image_in]:  18.0 13.0

* image_in:  1628  InMCMCParams[0:1][image_in]:  31.0 24.0

* image_in:  1629  InMCMCParams[0:1][image_in]:  16.0 31.0

* image_in:  1630  InMCMCParams[0:1][image_in]:  14.0 8.0

* image_in:  1631  InMCMCParams[0:1][image_in]:  1.0 28.0

* image_in:  1632  InMCMCParams[0:1][image_in]:  17.0 4.0

* image_in:  1633  InMCMCParams[0:1][image_in]:  2.0 25.0

* image_in:  1634  InMCMCParams[0:1][image_in]:  27.0 1.0

* image_in:  1635  InMCMCParams[0:1][image_in]:  30.0 4.0

* image_in:  1636  InMCMCParams[0:1][image_in]:  20.0 2.0

* image_in:  1637  InMCMCParams[0:1][image_in]:  13.0 16.0

* image_in:  1638  InMCMCParams[0:1][image_in]:  0.0 22.0

* image_in:  1639  InMCMCParams[0:1][image_in]:  26.0 7.0

* image_in:  1640  InMCMCParams[0:1][image_in]:  17.0 21.0

* image_in:  1641  InMCMCParams[0:1][image_in]:  11.0 12.0

* image_in:  1642  InMCMCParams[0:1][image_in]:  2.0 14.0

* image_in:  1643  InMCMCParams[0:1][image_in]:  20.0 9.0

* image_in:  1644  InMCMCParams[0:1][image_in]:  21.0 10.0

* image_in:  1645  InMCMCParams[0:1][image_in]:  21.0 30.0

* image_in:  1646  InMCMCParams[0:1][image_in]:  8.0 3.0

* image_in:  1647  InMCMCParams[0:1][image_in]:  21.0 6.0

* image_in:  1648  InMCMCParams[0:1][image_in]:  15.0 29.0

* image_in:  1649  InMCMCParams[0:1][image_in]:  4.0 27.0

* image_in:  1650  InMCMCParams[0:1][image_in]:  30.0 19.0

* image_in:  1651  InMCMCParams[0:1][image_in]:  3.0 31.0

* image_in:  1652  InMCMCParams[0:1][image_in]:  26.0 19.0

* image_in:  1653  InMCMCParams[0:1][image_in]:  4.0 13.0

* image_in:  1654  InMCMCParams[0:1][image_in]:  30.0 15.0

* image_in:  1655  InMCMCParams[0:1][image_in]:  0.0 1.0

* image_in:  1656  InMCMCParams[0:1][image_in]:  25.0 0.0

* image_in:  1657  InMCMCParams[0:1][image_in]:  17.0 17.0

* image_in:  1658  InMCMCParams[0:1][image_in]:  6.0 0.0

* image_in:  1659  InMCMCParams[0:1][image_in]:  2.0 14.0

* image_in:  1660  InMCMCParams[0:1][image_in]:  26.0 27.0

* image_in:  1661  InMCMCParams[0:1][image_in]:  19.0 14.0

* image_in:  1662  InMCMCParams[0:1][image_in]:  16.0 31.0

* image_in:  1663  InMCMCParams[0:1][image_in]:  4.0 28.0

* image_in:  1664  InMCMCParams[0:1][image_in]:  0.0 15.0

* image_in:  1665  InMCMCParams[0:1][image_in]:  3.0 20.0

* image_in:  1666  InMCMCParams[0:1][image_in]:  25.0 16.0

* image_in:  1667  InMCMCParams[0:1][image_in]:  30.0 21.0

* image_in:  1668  InMCMCParams[0:1][image_in]:  12.0 5.0

* image_in:  1669  InMCMCParams[0:1][image_in]:  15.0 30.0

* image_in:  1670  InMCMCParams[0:1][image_in]:  27.0 13.0

* image_in:  1671  InMCMCParams[0:1][image_in]:  0.0 16.0

* image_in:  1672  InMCMCParams[0:1][image_in]:  2.0 1.0

* image_in:  1673  InMCMCParams[0:1][image_in]:  16.0 16.0

* image_in:  1674  InMCMCParams[0:1][image_in]:  7.0 26.0

* image_in:  1675  InMCMCParams[0:1][image_in]:  26.0 1.0

* image_in:  1676  InMCMCParams[0:1][image_in]:  25.0 13.0

* image_in:  1677  InMCMCParams[0:1][image_in]:  28.0 6.0

* image_in:  1678  InMCMCParams[0:1][image_in]:  26.0 14.0

* image_in:  1679  InMCMCParams[0:1][image_in]:  16.0 27.0

* image_in:  1680  InMCMCParams[0:1][image_in]:  8.0 18.0

* image_in:  1681  InMCMCParams[0:1][image_in]:  16.0 8.0

* image_in:  1682  InMCMCParams[0:1][image_in]:  29.0 12.0

* image_in:  1683  InMCMCParams[0:1][image_in]:  29.0 12.0

* image_in:  1684  InMCMCParams[0:1][image_in]:  7.0 24.0

* image_in:  1685  InMCMCParams[0:1][image_in]:  11.0 15.0

* image_in:  1686  InMCMCParams[0:1][image_in]:  13.0 7.0

* image_in:  1687  InMCMCParams[0:1][image_in]:  11.0 20.0

* image_in:  1688  InMCMCParams[0:1][image_in]:  29.0 3.0

* image_in:  1689  InMCMCParams[0:1][image_in]:  23.0 1.0

* image_in:  1690  InMCMCParams[0:1][image_in]:  12.0 9.0

* image_in:  1691  InMCMCParams[0:1][image_in]:  17.0 18.0

* image_in:  1692  InMCMCParams[0:1][image_in]:  24.0 8.0

* image_in:  1693  InMCMCParams[0:1][image_in]:  17.0 19.0

* image_in:  1694  InMCMCParams[0:1][image_in]:  14.0 12.0

* image_in:  1695  InMCMCParams[0:1][image_in]:  31.0 6.0

* image_in:  1696  InMCMCParams[0:1][image_in]:  27.0 1.0

* image_in:  1697  InMCMCParams[0:1][image_in]:  21.0 22.0

* image_in:  1698  InMCMCParams[0:1][image_in]:  22.0 18.0

* image_in:  1699  InMCMCParams[0:1][image_in]:  5.0 7.0

* image_in:  1700  InMCMCParams[0:1][image_in]:  17.0 6.0

* image_in:  1701  InMCMCParams[0:1][image_in]:  1.0 19.0

* image_in:  1702  InMCMCParams[0:1][image_in]:  20.0 25.0

* image_in:  1703  InMCMCParams[0:1][image_in]:  29.0 17.0

* image_in:  1704  InMCMCParams[0:1][image_in]:  2.0 14.0

* image_in:  1705  InMCMCParams[0:1][image_in]:  19.0 19.0

* image_in:  1706  InMCMCParams[0:1][image_in]:  25.0 0.0

* image_in:  1707  InMCMCParams[0:1][image_in]:  0.0 21.0

* image_in:  1708  InMCMCParams[0:1][image_in]:  21.0 10.0

* image_in:  1709  InMCMCParams[0:1][image_in]:  4.0 7.0

* image_in:  1710  InMCMCParams[0:1][image_in]:  22.0 0.0

* image_in:  1711  InMCMCParams[0:1][image_in]:  8.0 28.0

* image_in:  1712  InMCMCParams[0:1][image_in]:  27.0 27.0

* image_in:  1713  InMCMCParams[0:1][image_in]:  21.0 14.0

* image_in:  1714  InMCMCParams[0:1][image_in]:  0.0 27.0

* image_in:  1715  InMCMCParams[0:1][image_in]:  16.0 28.0

* image_in:  1716  InMCMCParams[0:1][image_in]:  14.0 23.0

* image_in:  1717  InMCMCParams[0:1][image_in]:  31.0 11.0

* image_in:  1718  InMCMCParams[0:1][image_in]:  31.0 18.0

* image_in:  1719  InMCMCParams[0:1][image_in]:  22.0 31.0

* image_in:  1720  InMCMCParams[0:1][image_in]:  25.0 16.0

* image_in:  1721  InMCMCParams[0:1][image_in]:  8.0 17.0

* image_in:  1722  InMCMCParams[0:1][image_in]:  18.0 0.0

* image_in:  1723  InMCMCParams[0:1][image_in]:  1.0 2.0

* image_in:  1724  InMCMCParams[0:1][image_in]:  4.0 19.0

* image_in:  1725  InMCMCParams[0:1][image_in]:  31.0 13.0

* image_in:  1726  InMCMCParams[0:1][image_in]:  6.0 4.0

* image_in:  1727  InMCMCParams[0:1][image_in]:  9.0 5.0

* image_in:  1728  InMCMCParams[0:1][image_in]:  16.0 2.0

* image_in:  1729  InMCMCParams[0:1][image_in]:  14.0 20.0

* image_in:  1730  InMCMCParams[0:1][image_in]:  28.0 1.0

* image_in:  1731  InMCMCParams[0:1][image_in]:  14.0 30.0

* image_in:  1732  InMCMCParams[0:1][image_in]:  1.0 16.0

* image_in:  1733  InMCMCParams[0:1][image_in]:  24.0 3.0

* image_in:  1734  InMCMCParams[0:1][image_in]:  22.0 4.0

* image_in:  1735  InMCMCParams[0:1][image_in]:  8.0 0.0

* image_in:  1736  InMCMCParams[0:1][image_in]:  28.0 21.0

* image_in:  1737  InMCMCParams[0:1][image_in]:  31.0 2.0

* image_in:  1738  InMCMCParams[0:1][image_in]:  30.0 19.0

* image_in:  1739  InMCMCParams[0:1][image_in]:  27.0 17.0

* image_in:  1740  InMCMCParams[0:1][image_in]:  26.0 10.0

* image_in:  1741  InMCMCParams[0:1][image_in]:  10.0 18.0

* image_in:  1742  InMCMCParams[0:1][image_in]:  20.0 0.0

* image_in:  1743  InMCMCParams[0:1][image_in]:  12.0 31.0

* image_in:  1744  InMCMCParams[0:1][image_in]:  20.0 5.0

* image_in:  1745  InMCMCParams[0:1][image_in]:  22.0 14.0

* image_in:  1746  InMCMCParams[0:1][image_in]:  19.0 17.0

* image_in:  1747  InMCMCParams[0:1][image_in]:  25.0 4.0

* image_in:  1748  InMCMCParams[0:1][image_in]:  7.0 7.0

* image_in:  1749  InMCMCParams[0:1][image_in]:  22.0 21.0

* image_in:  1750  InMCMCParams[0:1][image_in]:  2.0 8.0

* image_in:  1751  InMCMCParams[0:1][image_in]:  9.0 8.0

* image_in:  1752  InMCMCParams[0:1][image_in]:  27.0 12.0

* image_in:  1753  InMCMCParams[0:1][image_in]:  24.0 30.0

* image_in:  1754  InMCMCParams[0:1][image_in]:  9.0 20.0

* image_in:  1755  InMCMCParams[0:1][image_in]:  0.0 5.0

* image_in:  1756  InMCMCParams[0:1][image_in]:  24.0 24.0

* image_in:  1757  InMCMCParams[0:1][image_in]:  25.0 29.0

* image_in:  1758  InMCMCParams[0:1][image_in]:  13.0 14.0

* image_in:  1759  InMCMCParams[0:1][image_in]:  17.0 9.0

* image_in:  1760  InMCMCParams[0:1][image_in]:  4.0 15.0

* image_in:  1761  InMCMCParams[0:1][image_in]:  24.0 31.0

* image_in:  1762  InMCMCParams[0:1][image_in]:  6.0 19.0

* image_in:  1763  InMCMCParams[0:1][image_in]:  22.0 8.0

* image_in:  1764  InMCMCParams[0:1][image_in]:  25.0 23.0

* image_in:  1765  InMCMCParams[0:1][image_in]:  13.0 9.0

* image_in:  1766  InMCMCParams[0:1][image_in]:  26.0 2.0

* image_in:  1767  InMCMCParams[0:1][image_in]:  31.0 26.0

* image_in:  1768  InMCMCParams[0:1][image_in]:  28.0 5.0

* image_in:  1769  InMCMCParams[0:1][image_in]:  5.0 28.0

* image_in:  1770  InMCMCParams[0:1][image_in]:  31.0 23.0

* image_in:  1771  InMCMCParams[0:1][image_in]:  31.0 25.0

* image_in:  1772  InMCMCParams[0:1][image_in]:  17.0 17.0

* image_in:  1773  InMCMCParams[0:1][image_in]:  20.0 20.0

* image_in:  1774  InMCMCParams[0:1][image_in]:  14.0 30.0

* image_in:  1775  InMCMCParams[0:1][image_in]:  20.0 6.0

* image_in:  1776  InMCMCParams[0:1][image_in]:  7.0 17.0

* image_in:  1777  InMCMCParams[0:1][image_in]:  28.0 16.0

* image_in:  1778  InMCMCParams[0:1][image_in]:  25.0 9.0

* image_in:  1779  InMCMCParams[0:1][image_in]:  18.0 14.0

* image_in:  1780  InMCMCParams[0:1][image_in]:  25.0 8.0

* image_in:  1781  InMCMCParams[0:1][image_in]:  9.0 24.0

* image_in:  1782  InMCMCParams[0:1][image_in]:  24.0 2.0

* image_in:  1783  InMCMCParams[0:1][image_in]:  19.0 17.0

* image_in:  1784  InMCMCParams[0:1][image_in]:  15.0 25.0

* image_in:  1785  InMCMCParams[0:1][image_in]:  17.0 4.0

* image_in:  1786  InMCMCParams[0:1][image_in]:  6.0 22.0

* image_in:  1787  InMCMCParams[0:1][image_in]:  7.0 24.0

* image_in:  1788  InMCMCParams[0:1][image_in]:  31.0 7.0

* image_in:  1789  InMCMCParams[0:1][image_in]:  20.0 15.0

* image_in:  1790  InMCMCParams[0:1][image_in]:  25.0 4.0

* image_in:  1791  InMCMCParams[0:1][image_in]:  13.0 11.0

* image_in:  1792  InMCMCParams[0:1][image_in]:  26.0 16.0

* image_in:  1793  InMCMCParams[0:1][image_in]:  23.0 21.0

* image_in:  1794  InMCMCParams[0:1][image_in]:  3.0 27.0

* image_in:  1795  InMCMCParams[0:1][image_in]:  5.0 0.0

* image_in:  1796  InMCMCParams[0:1][image_in]:  25.0 6.0

* image_in:  1797  InMCMCParams[0:1][image_in]:  13.0 2.0

* image_in:  0  InMCMCParams[0:1][image_in]:  27.0 13.0

* image_in:  1  InMCMCParams[0:1][image_in]:  2.0 29.0

* image_in:  2  InMCMCParams[0:1][image_in]:  17.0 2.0

* image_in:  3  InMCMCParams[0:1][image_in]:  5.0 12.0

* image_in:  4  InMCMCParams[0:1][image_in]:  27.0 28.0

* image_in:  5  InMCMCParams[0:1][image_in]:  11.0 19.0

* image_in:  6  InMCMCParams[0:1][image_in]:  31.0 3.0

* image_in:  7  InMCMCParams[0:1][image_in]:  8.0 14.0

* image_in:  8  InMCMCParams[0:1][image_in]:  21.0 26.0

* image_in:  9  InMCMCParams[0:1][image_in]:  22.0 16.0

* image_in:  10  InMCMCParams[0:1][image_in]:  12.0 18.0

* image_in:  11  InMCMCParams[0:1][image_in]:  1.0 16.0

* image_in:  12  InMCMCParams[0:1][image_in]:  20.0 0.0

* image_in:  13  InMCMCParams[0:1][image_in]:  13.0 13.0

* image_in:  14  InMCMCParams[0:1][image_in]:  30.0 16.0

* image_in:  15  InMCMCParams[0:1][image_in]:  2.0 5.0

* image_in:  16  InMCMCParams[0:1][image_in]:  31.0 7.0

* image_in:  17  InMCMCParams[0:1][image_in]:  26.0 7.0

* image_in:  18  InMCMCParams[0:1][image_in]:  12.0 27.0

* image_in:  19  InMCMCParams[0:1][image_in]:  20.0 1.0

* image_in:  20  InMCMCParams[0:1][image_in]:  14.0 29.0

* image_in:  21  InMCMCParams[0:1][image_in]:  18.0 25.0

* image_in:  22  InMCMCParams[0:1][image_in]:  28.0 8.0

* image_in:  23  InMCMCParams[0:1][image_in]:  4.0 23.0

* image_in:  24  InMCMCParams[0:1][image_in]:  17.0 22.0

* image_in:  25  InMCMCParams[0:1][image_in]:  21.0 2.0

* image_in:  26  InMCMCParams[0:1][image_in]:  13.0 19.0

* image_in:  27  InMCMCParams[0:1][image_in]:  26.0 19.0

* image_in:  28  InMCMCParams[0:1][image_in]:  19.0 23.0

* image_in:  29  InMCMCParams[0:1][image_in]:  20.0 10.0

* image_in:  30  InMCMCParams[0:1][image_in]:  5.0 16.0

* image_in:  31  InMCMCParams[0:1][image_in]:  14.0 5.0

* image_in:  32  InMCMCParams[0:1][image_in]:  24.0 3.0

* image_in:  33  InMCMCParams[0:1][image_in]:  5.0 30.0

* image_in:  34  InMCMCParams[0:1][image_in]:  28.0 25.0

